character,dialog,movie
Deagol,"Oh Smeagol I've got one! I've got a fish Smeagol, Smeagol!",The_Return_of_the_King
Smeagol,"Pull it in! Go on, go on, go on, pull it in!",The_Return_of_the_King
Deagol,Arrghh!,The_Return_of_the_King
Smeagol,Deagol! Deagol! Deagol! Give us that! Deagol my love.,The_Return_of_the_King
Deagol,Why?,The_Return_of_the_King
Smeagol,Because' it's my birthday and I wants it. My precious. They cursed us.,The_Return_of_the_King
Gollum,Murderer.,The_Return_of_the_King
Smeagol,"'Murderer' they called us. They cursed us and drove us away. Gollum' Gollum' Gollum' and we wept precious. We wept to be so alone. and cool, so nice for feet' and we only wish to catch a fish so juicy sweet. And we forgot the taste of bread, the sound of trees and the softness of the wind. We even forgot our own name.",The_Return_of_the_King
Frodo,Gandalf? Oooohhh!,The_Return_of_the_King
Merry,Frodo!,The_Return_of_the_King
Gimli,Aaaahh!,The_Return_of_the_King
Frodo,Gimli!,The_Return_of_the_King
Gollum,"My precious! Wake up! Wake up! ake up sleepies! We must go, yes, we must go at once.",The_Return_of_the_King
Sam,Haven't you had any sleep Mr. Frodo? And I've gone and had too much. It must be getting late.,The_Return_of_the_King
Frodo,"No, it isn't. It isn't midday yet. The days are growing darker.",The_Return_of_the_King
Gollum,Come on! Must go! No time!,The_Return_of_the_King
Sam,Not before Mr. Frodo's had something to eat.,The_Return_of_the_King
Gollum,No time to lose silly!,The_Return_of_the_King
Sam,Here.,The_Return_of_the_King
Frodo,What about you?,The_Return_of_the_King
Sam,"Oh no, I'm not hungry, leastways not for lembas bread.",The_Return_of_the_King
Frodo,Sam! Aragorn!,The_Return_of_the_King
Gandalf,Now come the days of the King. May they be blessed.,The_Return_of_the_King
Aragorn,"This day does not belong to one man, but to all. Let us together rebuild this world, that we may share in the days of peace. Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta! Hannon le. My friends, you bow to no-one.",The_Return_of_the_King
Frodo,"And thus it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring, though eternally bound by friendship and love was ended. Thirteen months to the day since Gandalf sent us on our long journey we find ourselves looking upon a familiar sight. We were home.",The_Return_of_the_King
Pippin,Alright!,The_Return_of_the_King
Hobbit,Hey watch the pumpkin.,The_Return_of_the_King
Rosie,Goodnight lads.,The_Return_of_the_King
Sam,"Oh alright, but we don't have that much left. We have to be careful or we are going to run out. You go ahead and eat that Mr. Frodo. I've rationed it, there should be enough.",The_Return_of_the_King
Frodo,For what?,The_Return_of_the_King
Sam,The journey home.,The_Return_of_the_King
Gollum,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.",The_Return_of_the_King
Merry,It's good. Definitely from the Shire. Longbottom leaf eh?,The_Return_of_the_King
Pippin,Uhh huh i feel like i'm back at the green dragon.,The_Return_of_the_King
Merry,Mmmm Green Dragon!,The_Return_of_the_King
Pippin,A mug of ale in my hand. Putting my feet up on a settle after a hard day's work.,The_Return_of_the_King
Merry,"Only, you've never done a hard day's work.",The_Return_of_the_King
Pippin,Ahaha!,The_Return_of_the_King
Merry,"Welcome, my lords to Isengard!",The_Return_of_the_King
Gimli,You young rascals. A merry hunt you've led us on and now we find you feasting and ' and smoking!,The_Return_of_the_King
Pippin,Hmm?,The_Return_of_the_King
Frodo,"How do you pick up the threads of an old life? How do you go on, when in your heart you begin to understand there is no going back? There are some things that time cannot mend. Some hurts that go too deep, that have taken hold.",The_Return_of_the_King
Sam,Mr. Frodo? What is it?,The_Return_of_the_King
Frodo,It's been four years to the day since Weathertop Sam. It's never really healed.,The_Return_of_the_King
Sam,"There and Back Again, a Hobbits tale by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished it.",The_Return_of_the_King
